일자별 시간표 내역을 입력합니다,,,,교시별 세부 시간표 내역을 입력합니다,,,,
훈련일자,훈련시작시간,훈련종료시간,방학여부,시작시간,시간구분,훈련강사코드,교육장소(강의실)코드,교과목(및 능력단위)코드
20210414,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210415,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210415,0900,1800,N,1200,2,,,
20210415,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 개발_14
20210416,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 테스트_14
20210416,0900,1800,N,1200,2,,,
20210416,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 테스트_14
20210417,0900,1800,N,0900,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210417,0900,1800,N,1200,2,,,
20210417,0900,1800,N,1300,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210420,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 테스트_14
20210420,0900,1800,N,1200,2,,,
20210420,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,파이널 프로젝트_프로젝트 테스트_14
20210422,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기업연계 프로젝트_팀 빌딩과 프로젝트 계획_4
20210422,0900,1800,N,1200,2,,,
20210422,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기업연계 프로젝트_팀 빌딩과 프로젝트 계획_4
20210423,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기업연계 프로젝트_스케쥴링과 인프라 구축_4
20210423,0900,1800,N,1200,2,,,
20210423,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기업연계 프로젝트_스케쥴링과 인프라 구축_4
20210424,0900,1800,N,0900,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210424,0900,1800,N,1200,2,,,
20210424,0900,1800,N,1300,1,박철훈_1425143,YGL_C1(실습겸용강의실)_222802,멘토링_멘토링_6
20210427,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기업연계 프로젝트_프로젝트 기획_4
20210427,0900,1800,N,1200,2,,,
20210427,0900,1800,N,1300,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기업연계 프로젝트_프로젝트 기획_4
20210428,0900,1800,N,0900,1,이미향_52666,YGL_C1(실습겸용강의실)_222802,기업연계 프로젝트_프로젝트 기획_4
20210428,0900,1800,N,1200,2,,,
